ortho_id	clade1	clade2	clade3	clade4
clust_0810	0.909090909090909	1	0.928571428571429	1
clust_0811	1	0.875	0.928571428571429	1
clust_0812	1	1	0.857142857142857	1
clust_0813	1	1	1	0
clust_0814	1	0.875	0.928571428571429	1
clust_0815	1	1	0.857142857142857	1
clust_0816	1	1	1	0
clust_0817	0.909090909090909	1	0.928571428571429	1
clust_0818	0.818181818181818	1	1	1
clust_0819	1	1	1	0
clust_0820	0.818181818181818	1	1	1
clust_0821	0.818181818181818	1	1	1
clust_0822	1	1	1	0
clust_0823	1	1	1	0
clust_0824	0.818181818181818	1	1	1
clust_0825	1	0.75	1	1
clust_0826	0.909090909090909	1	0.928571428571429	1
clust_0827	1	0.75	1	1
clust_0828	0.818181818181818	1	1	1
clust_0829	0.818181818181818	1	1	1
clust_0830	1	1	1	0
clust_0831	1	1	1	0
clust_0832	1	0.75	1	1
clust_0833	1	0.75	1	1
clust_0834	0.818181818181818	1	1	1
clust_0835	1	0.75	1	1
clust_0836	1	0.75	1	1
clust_0837	1	0.75	1	1
clust_0838	1	0.75	1	1
clust_0839	1	0.75	1	1
clust_0840	1	0.875	0.928571428571429	1
clust_0841	0.909090909090909	0.875	1	1
clust_0842	0.909090909090909	0.75	1	1
clust_0843	0.909090909090909	1	0.857142857142857	1
clust_0844	0.909090909090909	1	0.857142857142857	1
clust_0845	0.909090909090909	1	0.857142857142857	1
clust_0846	0.909090909090909	1	0.857142857142857	1
clust_0847	0.727272727272727	1	1	1
clust_0848	0.818181818181818	1	1.07142857142857	0
clust_0849	1	1	0.928571428571429	0
clust_0850	0.818181818181818	1	0.928571428571429	1
clust_0851	0.818181818181818	1	0.928571428571429	1
clust_0852	0.818181818181818	1	0.928571428571429	1
clust_0853	0.727272727272727	1	1	1
clust_0854	0.727272727272727	1	1	1
clust_0855	0.818181818181818	1	0.928571428571429	1
clust_0856	0.909090909090909	1	0.857142857142857	1
clust_0857	0.909090909090909	1	0.928571428571429	0.5
